,Unnamed: 0,id,right_ascension_deg,declination_deg,type
0,0,21002602,272.7745522,53.4938379,ROTS
3,3,21032363,273.1811111,53.55759824,VAR
6,6,21162252,275.9499106,53.30083528,GDOR
10,10,21190018,276.5383712,53.47192459,ROTS
12,12,21282741,277.2868429,52.61746423,VAR
13,13,21282988,277.1923877,53.06854969,ROTS
19,19,47669409,279.0190509,52.83307265,VAR
20,20,47670480,279.1557835,53.09856679,ROTS
22,22,47677211,279.3492278,52.98609481,VAR
23,23,47734464,279.7130931,52.3443299,DSCT+GDOR
30,30,47876171,280.7026391,52.97813805,VAR
32,32,47933142,280.7667766,53.62442376,VAR
44,44,48221666,283.0449983,53.63377196,ROT
49,49,159414259,238.6556303,78.21335663,GDOR+DSCT
53,53,159436982,241.7654652,78.00113855,ROTS
54,54,159454275,243.1453403,79.3562733,VAR
56,56,159464498,244.8373112,78.91403486,EA
57,57,159466257,245.0581,80.04259471,VAR
58,58,159502465,246.4299433,78.96385752,DSCT
60,60,159509609,247.7112387,78.65207565,ROT
62,62,159510088,247.4080226,80.25408981,VAR
63,63,159511448,248.2676317,79.45246594,GDOR
64,64,160393513,231.8066916,72.06713498,GDOR
65,65,160409672,233.5505546,76.29184624,ROTS
69,69,160410397,233.9889777,76.03653613,VAR
70,70,160410686,234.2162386,74.71273718,VAR
71,71,160410789,234.0243537,74.20231771,ROTS
72,72,160418603,234.0718866,73.40389465,ROTS
75,75,160420463,234.711284,77.2370663,VAR
77,77,160422287,235.1719991,74.32087048,GDOR
79,79,160422821,235.1733139,76.55642901,VAR
80,80,160438083,236.1051686,76.8767818,ROTS
81,81,160438402,236.463385,77.41233359,ROTS
83,83,160439150,236.5308231,73.94317327,GDOR
85,85,160440137,236.8758389,73.94769872,ROTS
86,86,160471611,237.0224509,75.28575184,ROTS
87,87,160472652,237.7485968,72.68392473,DSCT+GDOR
88,88,160473368,237.5556775,75.57895248,VAR
89,89,160473764,237.7282645,77.26527384,VAR
90,90,160473885,237.7146812,77.85826256,GDOR
91,91,160488002,237.9505073,73.317346,VAR
93,93,160488788,238.3107853,73.55680888,GDOR+DSCT
94,94,160489507,238.5636287,76.84515491,ROTS
95,95,160489569,238.5706173,77.16251105,VAR
96,96,160490168,238.602089,75.63234952,DSCT
97,97,160491559,239.1362694,73.78599306,GDOR
98,98,160493399,239.7150919,74.07087426,VAR
99,99,160518449,239.9774073,74.45883289,EA
100,100,160519583,240.4981217,76.26226305,VAR
101,101,160521779,240.6401798,76.05807496,VAR
102,102,160533144,240.8806184,76.79394301,GDOR+DSCT
103,103,160534539,241.0012026,73.14836862,ROTS
105,105,160535421,241.5138388,73.92012848,GDOR
106,106,160536538,242.0809761,76.98572285,GDOR
107,107,160550553,241.7468002,75.85125284,VAR
108,108,160550735,241.860513,75.00971431,VAR
110,110,160553166,242.8646078,77.07361848,VAR
111,111,160582801,242.5385418,73.12021295,VAR
112,112,160582982,242.6555963,72.39323389,DSCT+GDOR
113,113,160585671,243.6393553,73.39489085,GDOR
116,116,160600809,244.3761224,75.75534427,EW|ROT
117,117,160601443,244.1513472,73.27930086,VAR
118,118,160601772,244.1800512,72.12874561,VAR
120,120,160602772,244.4852382,75.65968287,DSCT+GDOR
121,121,160602798,244.7678094,75.76176346,VAR
